DISCHARGE, BEDS
1126, 492
1355, 493
1301, 496
1657, 498
1785, 500
1669, 505
2031, 509
2051, 510
834, 517
1805, 524
1350, 524
1420, 530
1522, 538
1386, 540
1376, 541
1780, 543
986, 550
1645, 551
1478, 556
1152, 558
2116, 562
1828, 566
1789, 573
1509, 577
1583, 583
1326, 584
999, 591
1648, 592
1218, 606
1785, 606
1463, 613
2240, 625
1606, 635
1620, 650
2150, 652
1376, 658
1504, 684
2089, 712
1893, 712
2844, 774
2171, 785
2766, 829
1715, 830
2135, 838
1624, 857
2700, 904
1678, 918
1394, 936
1894, 937
2268, 986
