"BlockGroup","NAME","TotHH","TotPerson","TotMale","MaleLT5Yrs","Male5to9Yrs","Male10to14Yrs","Male15to17Yrs","Male18to19Yrs","Male20Yrs","Male21Yrs","Male22to24Yrs","Male25to29Yrs","Male30to34Yrs","Male35to39Yrs","Male40to44Yrs","Male45to49Yrs","Male50to54Yrs","Male55to59Yrs","Male60to61Yrs","Male62to64Yrs","Male65to66Yrs","Male67to69Yrs","Male70to74Yrs","Male75to79Yrs","Male80to84Yrs","MaleGE85Yrs","TotFemale","FemaleLT5Yrs","Female5to9Yrs","Female10to14Yrs","Female15to17Yrs","Female18to19Yrs","Female20Yrs","Female21Yrs","Female22to24Yrs","Female25to29Yrs","Female30to34Yrs","Female35to39Yrs","Female40to44Yrs","Female45to49Yrs","Female50to54Yrs","Female55to59Yrs","Female60to61Yrs","Female62to64Yrs","Female65to66Yrs","Female67to69Yrs","Female70to74Yrs","Female75to79Yrs","Female80to84Yrs","FemaleGE85Yrs","Tract","Age1_Female","Age2_Female","Age3_Female","Age1_Male","Age2_Male","Age3_Male","Age1_Total","Age2_Total","Age3_Total","Target_Total","Tract_Name"
"240338001021","Block Group 1, Census Tract 8001.02, Prince George's County, Maryland",384,780,377,17,17,22,7,11,5,3,17,33,36,30,29,39,36,27,13,9,7,7,5,6,0,1,403,21,18,21,10,14,5,6,19,33,39,29,35,48,44,19,7,5,6,5,7,6,2,4,"24033800102",180,123,30,164,124,26,344,247,56,647," Census Tract 8001.02, Prince George's County, Maryland"
"240338001022","Block Group 2, Census Tract 8001.02, Prince George's County, Maryland",816,1410,655,49,25,20,11,8,9,3,34,74,65,48,42,55,44,57,11,21,13,17,21,14,7,7,755,37,27,25,18,5,6,2,36,79,75,64,35,62,54,43,13,33,14,28,26,30,22,21,"24033800102",302,205,141,283,188,79,585,393,220,1198," Census Tract 8001.02, Prince George's County, Maryland"
"240338001023","Block Group 3, Census Tract 8001.02, Prince George's County, Maryland",255,573,285,17,17,19,8,2,2,6,11,18,17,21,20,25,28,26,8,5,4,4,8,8,9,2,288,14,15,19,8,5,4,3,6,16,27,20,24,17,24,16,12,8,4,9,11,10,9,7,"24033800102",105,77,50,97,92,35,202,169,85,456," Census Tract 8001.02, Prince George's County, Maryland"
"240338001031","Block Group 1, Census Tract 8001.03, Prince George's County, Maryland",311,670,333,25,12,14,10,7,4,4,6,26,20,27,24,32,34,40,4,16,6,8,5,6,3,0,337,25,14,18,11,6,4,3,10,27,29,25,24,31,38,23,9,9,9,3,10,3,3,3,"24033800103",128,110,31,118,126,28,246,236,59,541," Census Tract 8001.03, Prince George's County, Maryland"
"240338001032","Block Group 2, Census Tract 8001.03, Prince George's County, Maryland",639,1508,807,82,64,32,23,15,10,14,51,116,83,74,55,49,54,28,21,12,2,5,9,4,2,2,701,71,26,35,18,14,11,16,61,104,94,45,41,53,43,25,4,5,8,4,6,3,5,9,"24033800103",386,130,35,418,164,24,804,294,59,1157," Census Tract 8001.03, Prince George's County, Maryland"
"240338001051","Block Group 1, Census Tract 8001.05, Prince George's County, Maryland",369,896,422,25,35,32,18,13,4,3,13,33,36,37,28,41,29,21,9,11,7,5,10,3,3,6,474,29,29,30,12,9,6,1,16,34,30,53,41,29,43,33,11,19,4,7,12,13,7,6,"24033800105",190,135,49,167,111,34,357,246,83,686," Census Tract 8001.05, Prince George's County, Maryland"
"240338001052","Block Group 2, Census Tract 8001.05, Prince George's County, Maryland",426,1064,487,34,28,37,14,17,9,6,15,26,39,39,40,32,43,32,10,17,10,4,14,7,11,3,577,39,40,36,21,11,8,7,14,31,47,44,55,36,43,37,14,16,11,17,19,15,8,8,"24033800105",217,146,78,191,134,49,408,280,127,815," Census Tract 8001.05, Prince George's County, Maryland"
"240338001053","Block Group 3, Census Tract 8001.05, Prince George's County, Maryland",623,1505,701,66,50,48,29,9,14,6,33,61,76,63,46,63,42,35,12,17,7,8,10,2,2,2,804,55,50,56,34,13,8,7,20,68,78,92,55,74,65,46,15,24,9,4,14,4,7,6,"24033800105",341,224,44,308,169,31,649,393,75,1117," Census Tract 8001.05, Prince George's County, Maryland"
"240338001061","Block Group 1, Census Tract 8001.06, Prince George's County, Maryland",613,1294,561,69,32,35,17,14,2,6,32,45,51,62,41,34,47,31,8,13,3,6,6,5,2,0,733,50,39,35,18,17,6,4,27,53,88,66,67,66,62,43,17,19,16,9,12,5,6,8,"24033800106",328,207,56,253,133,22,581,340,78,999," Census Tract 8001.06, Prince George's County, Maryland"
"240338001062","Block Group 2, Census Tract 8001.06, Prince George's County, Maryland",519,1357,647,61,57,32,22,12,7,6,22,43,49,48,55,53,63,56,10,22,9,2,8,2,2,6,710,48,46,45,17,9,10,8,13,53,71,62,66,58,77,43,13,16,6,11,16,11,7,4,"24033800106",292,207,55,242,204,29,534,411,84,1029," Census Tract 8001.06, Prince George's County, Maryland"
