"BlockGroup","NAME","TotHH","TotPerson","TotMale","TotFemale","Tol_18-44","Tol_45-64","Tol_65+","Si","pi1","Tract","ID_unit","pi2","Stratum"
"240338001061","Block Group 1, Census Tract 8001.06, Prince George's County, Maryland",613,1294,561,733,581,340,78,0.605474729469161,0.0435400796515749,24033800106,2,0.487364950015899,1
"240338004031","Block Group 1, Census Tract 8004.03, Prince George's County, Maryland",930,2662,1314,1348,824,810,336,1.39313556155659,0.0716070209519559,24033800403,3,0.681844375006683,2
"240338005111","Block Group 1, Census Tract 8005.11, Prince George's County, Maryland",590,1629,767,862,625,440,139,0.778234455584313,0.0918868785590653,24033800511,5,0.29682771326239,3
"240338007011","Block Group 1, Census Tract 8007.01, Prince George's County, Maryland",1232,3434,1593,1841,1308,1003,227,1.58836707966447,0.0904862891600329,24033800701,10,0.615198955175811,4
"240338012102","Block Group 2, Census Tract 8012.10, Prince George's County, Maryland",725,1999,950,1049,658,641,240,1.06780027867614,0.0778856482223217,24033801210,11,0.480485273180581,5
"240338013111","Block Group 1, Census Tract 8013.11, Prince George's County, Maryland",741,2104,1028,1076,643,725,245,1.12123932073963,0.0992659400882317,24033801311,14,0.395863581725429,6
"240338017022","Block Group 2, Census Tract 8017.02, Prince George's County, Maryland",1403,2867,1228,1639,1407,571,79,1.14692166968839,0.0571553776944045,24033801702,16,0.703273331943617,7
"240338019081","Block Group 1, Census Tract 8019.08, Prince George's County, Maryland",797,1883,838,1045,828,448,115,0.84523161977771,0.0522190055083873,24033801908,19,0.567276285874967,8
"240338025012","Block Group 2, Census Tract 8025.01, Prince George's County, Maryland",739,1628,696,932,674,426,118,0.762275520010198,0.0542945782543125,24033802501,20,0.49204293339616,9
"240338035091","Block Group 1, Census Tract 8035.09, Prince George's County, Maryland",661,2011,922,1089,923,285,34,0.669697754101825,0.0403506090122103,24033803509,23,0.581669428435055,10
"240338036022","Block Group 2, Census Tract 8036.02, Prince George's County, Maryland",296,824,365,459,282,173,142,0.449700202104435,0.0344345608378041,24033803602,24,0.457694848382913,11
"240338041021","Block Group 1, Census Tract 8041.02, Prince George's County, Maryland",587,1754,860,894,669,436,156,0.82125475828265,0.0898267823281251,24033804102,27,0.320419948087742,12
"240338056021","Block Group 1, Census Tract 8056.02, Prince George's County, Maryland",952,3643,2619,1024,2652,341,23,1.51261074630909,0.0721636714995762,24033805602,30,0.73460867170934,13
"240338066021","Block Group 1, Census Tract 8066.02, Prince George's County, Maryland",821,2463,1221,1242,1161,474,116,1.02175038256904,0.0699613678414826,24033806602,33,0.511839745844188,14
"240338072001","Block Group 1, Census Tract 8072, Prince George's County, Maryland",753,8101,4455,3646,7940,81,28,3.87265444667071,0.267827224857732,24033807200,34,0.506759052843228,15
